Date,Open,High,Low,Close,Adj Close,Volume
1/1/13,357.385559,378.016357,345.512787,375.403351,375.403351,105490000
2/1/13,376.650238,401.871216,376.600586,398.011322,398.011322,93281700
3/1/13,396.322296,419.273041,394.086853,394.528961,394.528961,85649100
4/1/13,394.93631,411.145905,378.17038,409.620819,409.620819,107798400
5/1/13,408.970032,457.325531,405.542328,432.795074,432.795074,99475100
6/1/13,433.679321,452.477081,420.87262,437.340515,437.340515,97791000
7/1/13,440.36087,461.001617,434.975891,441.006683,441.006683,103155300
8/1/13,444.608246,451.91571,420.048004,420.713654,420.713654,67407600
9/1/13,424.419556,450.067749,424.215881,435.124939,435.124939,66675300
10/1/13,437.280914,517.394836,418.766327,511.960205,511.960205,111165100
11/1/13,512.561279,530.549316,499.252838,526.37146,526.37146,52852500
12/1/13,528.318787,556.878052,521.120605,556.734009,556.734009,68124700
1/1/14,554.125916,589.436279,537.638184,586.669312,586.669312,109730500
2/1/14,585.789978,610.469482,560.365356,603.897217,603.897217,81618000
3/1/14,599.476013,609.530579,549.896362,555.445007,555.445007,71857600
4/1/14,555.654724,601.522522,500.050446,523.779968,523.779968,67539600
5/1/14,524.227539,564.734802,500.547729,556.828247,556.828247,36727500
6/1/14,557.63385,579.264893,535.803833,572.134094,572.134094,38105800
7/1/14,575.157471,596.37085,561.920288,568.474243,568.474243,34704900
8/1/14,567.280762,584.128174,556.937683,568.474243,568.474243,27734000
9/1/14,568.722839,593.21814,565.102783,574.202698,574.202698,33608300
10/1/14,572.860107,577.822815,505.321472,556.022705,556.022705,52305400
11/1/14,552.46228,554.849121,527.181274,538.867004,538.867004,28598100
12/1/14,535.953064,538.449341,486.325928,523.521423,523.521423,45989600
1/1/15,526.114746,539.202759,484.891632,531.594604,531.594604,50208900
2/1/15,528.819885,561.619385,515.712036,555.343933,555.343933,32578800
3/1/15,557.46228,574.747131,541.241516,545.000854,545.000854,38446900
4/1/15,545.597534,568.01416,518.158569,537.340027,537.340027,42364400
5/1/15,538.429993,544.190002,521.085022,532.109985,532.109985,31848600
6/1/15,536.789978,543.73999,520.5,520.51001,520.51001,34334600
7/1/15,524.72998,678.640015,515.179993,625.609985,625.609985,63319000
8/1/15,625.340027,674.900024,565.049988,637.609985,637.609985,61388900
9/1/15,602.359985,650.900024,589.380005,608.419983,608.419983,47889100
10/1/15,608.369995,730,599.849976,710.809998,710.809998,49428500
11/1/15,711.059998,762.708008,705.849976,742.599976,742.599976,33932700
12/1/15,747.109985,779.97998,724.169983,758.880005,758.880005,43096800
1/1/16,743,752,673.26001,742.950012,742.950012,46552500
2/1/16,750.460022,789.869995,663.059998,697.77002,697.77002,64329300
3/1/16,703.619995,757.880005,685.340027,744.950012,744.950012,41735400
4/1/16,738.599976,769.900024,689,693.01001,693.01001,42140100
5/1/16,697.630005,739.72998,689.01001,735.719971,735.719971,34941900
6/1/16,734.530029,737.210022,663.283997,692.099976,692.099976,39358300
7/1/16,692.200012,778.549988,688.215027,768.789978,768.789978,29898300
8/1/16,761.090027,789.75,761.090027,767.049988,767.049988,26373900
9/1/16,769.25,789.849976,754,777.289978,777.289978,27540000
10/1/16,774.25,816.679993,769.5,784.539978,784.539978,33881500
11/1/16,782.890015,795.632996,727.539978,758.039978,758.039978,42595000
12/1/16,757.440002,804.380005,737.025024,771.820007,771.820007,32079700
1/1/17,778.809998,841.950012,775.799988,796.789978,796.789978,33191600
2/1/17,799.679993,833.450012,791.190002,823.210022,823.210022,25682500
3/1/17,828.849976,853.5,803.369995,829.559998,829.559998,33835100
4/1/17,829.219971,916.849976,817.02002,905.960022,905.960022,25161900
5/1/17,901.940002,979.27002,901.450012,964.859985,964.859985,32180100
6/1/17,968.950012,988.25,908.309998,908.72998,908.72998,43577200
7/1/17,912.179993,986.200012,894.789978,930.5,930.5,36679200
8/1/17,932.380005,941.97998,903.400024,939.330017,939.330017,27958000
9/1/17,941.130005,959.786011,909.700012,959.109985,959.109985,28053800
10/1/17,959.97998,1048.390015,947.840027,1017.109985,1017.109985,30444900
